feature,pr_auc_drop,f1_drop
public_gists_count,0.0009968847352024,0.0016694398225179
open_issues_count,0.0008207705192629,0.0016694398225179
watchers_count,0.0004093567251461,0.0016694398225179
stargazers_count,0.0003482587064675,0.0016694398225179
risk_filename_count,0.0002739071038251,0.0033444537345936
env_file_count,1.107419712065294e-05,0.006600569299102
repo_age_days,1.107419712065294e-05,0.0033112308672941
description_clean_len,1.107419712065294e-05,0.0
description_has_download_lure_keyword,1.107419712065294e-05,0.0
external_domains_with_age_count,1.107419712065294e-05,0.0
